P10790390X0000|67 75|mod ( mdg4 )
P10825200T0000|143 146|STAT
P11306463A0383|23 24|Rb
P11094091A0000|35 38|CREB
P07499401A0444|28 29|H'
P08001792A0284|30 39|git10 genes
P09369451A0693|183 186|OP-1
P09294422A1376|173 175|POR
P09098066A0119|209 236|cytadherence-regulatory locus
P02182618A0168|55 86|chloramphenicol acetyltransferase
P08441394A1297|10 15|PC-PLC
P02010912A0366|73 88|MalT binding sites
P09205113A0587|67 74|HPRT gene
P07665567A0495|232 235|AP-1
P09261155A0833|118 122|IRS-1
P07508954A0000|34 38|ABC-P
P09169593T0000|0 6|Insulin
P11263664A1085|42 49|XBra gene
P09686603A0124|147 165|TCR beta gene segments
P09148935A0805|127 155|c-Src binding site Phe-397 mutant
P08076937A0851|137 156|Tru9I restriction site
P10679065A0711|113 119|p38 MAPK
P09048617A0648|23 44|tyrosine kinase receptor
P00618078A0367|14 21|lysozyme
P11292839A0531|203 207|TBPwt
P11391531A1157|13 25|NF-kappaB site
P09169420A0000|100 102|SH2
P02307371A0263|195 206|c-myc alleles
P07665477A0901|66 69|esaI
P09561560A0579|195 208|HIV1 Nef peptide
P01409581A0206|18 38|E26 virus-encoded v-ets
P11106428A0635|140 164|glutathione-S-transferase
P08394464A1080|76 79|p2/2
P07538068A1094|81 83|Hox
P09712898A0911|74 76|GCK
P11238375A0617|126 130|MAPKs
P03570455A0433|103 108|TSST-1
P02026147A0000|55 63|CaM kinase
P08360180A1041|30 34|PSI-G
P08483412A0000|3 6|nifJ
P07537851A0000|178 186|TNF-alpha
P01850096A0662|31 34|MyoD
P01649318A0734|22 32|CD23 element
P09111340A0240|252 254|CAT
P09584179A0673|21 40|zinc finger protein Ttk
P08100057A0577|58 61|CD68
P10675331A0600|70 72|Shc
P01279374A0396|118 123|PET122
P07558583A0562|129 150|Src-like tyrosine kinase
P09649438A0182|133 135|Tat
P08657135A1444|30 33|CKII
P11278286A0456|34 35|GR
P09369453A0273|27 37|Bcl-2 family
P09003462A0792|41 44|SL11
P09032254A0724|31 38|AP-1 site
P02176209A0954|25 28|NF-Y
P07665477A0901|0 3|EsaR
P11502758A0869|52 56|LAD-1
P00637637T0000|27 37|plasma renin
P09843378A0187|3 20|dopamine D4 receptor
P10773667A0351|3 11|HMG domain
P08012448T0000|0 3|INO2
P08576179A0126|9 11|PKR
P10085088A0918|39 42|eIF3
P10071761A2374|145 148|UCP2
P07853524A1944|29 31|Tax
P01130186A0568|47 53|insulin
P08152800A0357|115 118|ER81
P09029713A1120|74 77|SF-1
P10669594A0000|206 220|metalloprotease
P09024793A1325|162 166|BMP-2
P08628254A0665|60 67|AP1 sites
P07984105A1509|31 42|WA fyuA mutant
P08425221A0000|16 40|cytoplasmic tyrosine kinase
P04214345T0000|27 29|IgG
P01974876A1051|110 114|BglII
P09685346A0419|16 20|Pitx2
P09670943T0000|0 19|B cell antigen receptor
P08838144A0107|102 103|S1
P11208814A0673|55 65|DmCKIIalpha
P10931950A0869|7 10|MAPK
P11312120A1311|112 114|Rac
P09264466A0947|3 13|Cut9 subunit
P11069897A1112|25 29|BACH1
P01627830A0000|16 29|casein kinase-1
P01918070A0281|46 53|T3R alpha
P09701609A0116|114 123|Gbetagamma
P11315633A0920|22 24|VPg
P08055939A0159|62 72|H1 molecules
P09138076A1099|141 154|E-box 2 elements
P09230307A0329|0 2|FOG
P11256962A0233|115 145|homologous GlyR alpha subunit genes
P03329716A0187|16 34|EGF receptor promoter
P08491383A1291|35 57|telomere-binding protein
P08668158A0765|118 129|tRNA met f gene
P02164637A0515|15 22|IRA2 gene
P09079650A0136|12 15|MAPK
P07959734A0194|13 21|contactin
P09084174A0667|105 144|aspartate-beta-semialdehyde dehydrogenase
P09852136A0174|134 135|HA
P01855255T0000|42 45|RCC1
P08754834A1097|113 119|NN-84AG
P10477583A0000a|32 34|BCR
P07891713T0000|0 15|Small Maf proteins
P10051488A1293|92 116|high mobility AP-1 complexes
P09396722A0185|8 12|ApxII
P11283256A0258|21 30|native MRCK
P08188606A1034|64 69|Tn5422
P08246987A0260|82 84|SH3
P11472696A0387|25 27|CRP
P09577365A0747|63 76|collagen type IV
P08647884A0547|52 69|MHC class I molecules
P07816049A1157|81 86|AKin10
P10502402A0533|90 98|TRAIL gene
P07760841A0647|83 107|ADH2 basal promoter elements
P08196607A0280|21 32|ICL1 promoter
P08622698T0000|86 107|Epstein-Barr virus EBNA2
P03972185A0137|38 44|insulin
P09218459A0000|20 22|SRF
P10735272A0649|181 185|ANOVA
P09353296A0510|100 116|E. coli moaC product
P09382886A1061|76 78|p53
P08428940A1763|86 89|MerR
P07601445A0207|79 102|WM6 Drosophila gene product
P10733591A0146|101 121|c-jun N-terminal kinase
P10607566A0880|119 135|retinoid X receptor
P07929431A0949|105 107|CAT
P09539721A0599|88 97|pR promoter
P11500571A0976|27 44|NtmybAS transcripts
P02968055A0984|38 40|ANF
P02958204A0175|53 57|HDL-C
P06316347A0852|72 89|beta-galactosidase
P10367646A0569|158 171|serum globulins
P07871718A1132|52 63|ICP4 promoter
P11012680A1020|201 204|ERK2
P09446616A0780|60 63|Jak1
P02590869A0743|37 39|IgG
P08838314A0129|172 177|AVPR1A
P08248253A1785|59 74|chicken L-CAM gene
P07969136A0273|134 153|kappa light-chain gene
P11157763T0000|28 63|human aminoacyl-tRNA synthetase complex
P01687050T0000|35 49|immunoglobulin G
P08049444A0351|115 137|A-T-rich binding protein 1
P08088777A0754|105 107|Ak1
P10640683A0204|0 11|NDRF / NeuroD2
P10903733A0540|116 120|TRAF2
P08524267A1022|181 190|myc mutants
P08977235A0588|85 89|STAT5
P09172414A0000|120 141|serum and liver esterases
P01318310A0000|61 82|high density lipoprotein
P10379942T0000|91 108|glycoprotein M genes
P07791776T0000|18 21|fus1
P02062116A0688|11 26|monoamine oxidase
P10959838A0153|49 51|Nit
P08617216A0584|40 43|DnaK
P10667597A0668|6 15|HZF16 genes
P10512699T0000|171 174|selA
P08702728A1325|26 37|wild-type Shc
P10454570A0846|205 208|IL-1
P09751166A1460|42 48|Sp1 site
P10596955A1032|36 44|troponin I
P07565720A0256|21 24|NirA
P01854339A0221|42 74|Escherichia coli consensus promoters
P09388198A1396|79 90|p38 MAP kinase
P08973917A0632|30 42|human PWP2 gene
P02761540A0873|46 58|AP-1 sequences
P09920930A0959|67 70|AP-1
P10965905A1618|284 287|PI3K
P09832436A0738|37 41|PLP-C
P10600171A1432|77 80|USF1
P01731107A0928|44 52|ICR2 motif
P08994825A0000|31 33|MPF
P10657658A0165|63 74|I kappa B alpha
P01309593A1092|73 80|UCR motif
P11157763T0000|14 25|EMAPII domain
P07925282A0705|58 68|SRP proteins
P01331501A0397|110 116|cyclin A
P08805338A1061|23 30|OGG1 gene
P10779508T0000|0 37|Estrogen receptor-related receptor alpha 1
P10706887A0281|34 36|ALK
P07860208A0000|26 42|interleukin-1 beta
P09209438A0994|53 58|GATA-4
P00993176A0066|35 44|hemoglobin
P03499657A0000|33 36|sBGP
P10409656A1016|16 23|H411 cDNA
P02333749A0411|89 100|P. orbiculare
P10915780A1063|0 4|Wnt-1
P11238447A0524|161 165|nup98
P08202546A1206|27 39|hUBF-promoter
P07553942A0810|95 113|Marchantia rps10 gene
P08631822A0677|95 107|VEGF receptors
P07665948A0591|0 2|IgE
P08376796A0172|116 118|IgG
P01579537A0000|37 50|botulinum toxin
P07563090A0124|170 176|pol gene
P10579722T0000|17 37|myosin-binding subunit
P08212571A0971|13 15|gag
P08524241A0212|59 62|IME1
P08995054A0618|29 45|zinc knuckle region
P08749393A0783|94 111|p85 adaptor proteins
P09305870A0894|85 88|hDlg
P09584165T0000|0 4|RACK1
P01331501A0397|121 124|p130
P09407031A0974|33 36|Chk1
P08621384A0935|125 132|PKCdelta
P08170400T0000|47 80|Escherichia coli transcription factor
P10972990A0526|144 180|hypoxanthine phosphoribosyl transferase
P03721594A0000|129 138|fibrinogen
P07916003A0688|43 56|human CD79 alpha
P10704499A0682|154 156|PLC
P01516829A0460|65 68|SNF2
P09789025A0149|8 15|Galpha12
P02076620A0548|18 27|fibrinogen
P08628251A1455|0 6|CM-ACO3
P08227129T0000|8 27|myosin-binding domain
P08350398A1616|41 45|gp19K
P08990168A0688|37 41|STAT1
P08816759A0000|65 84|retinoic acid receptor
P09315678A0278|60 83|rat nucleolar protein NAP57
P03036817A0213|52 70|NdeI restriction site
P11535532A0189|51 54|IL-2
P10339566A0602|0 4|Spc42
P03933784A0420|26 37|CSF prolactin
P10022850A0929|88 90|Zta
P08206848A0296|10 18|pyrP genes
P09003462A0792|74 77|nrdB
P09599664A0881|61 68|RXR alpha
P10543727A0282|252 263|H2TF1 element
P10861906A0999|92 95|IME2
P10409741A0382|34 37|CDC4
P09658405A0000|3 11|Dax-1 gene
P04075021T0000|97 112|monoamine oxidase
P06977605T0000|0 9|Endorphins
P09099745A1446|233 235|CDK
P08672242A0517|65 74|P1 promoter
P09579602A1720|63 66|CD34
P07473742A0187|56 65|GATA family
P08507921A1021|85 87|ANF
P11080796A1277|81 87|IKKbeta
P08530384A0559|68 78|Oct proteins
P07877619A1284|150 168|RA-responsive region
P10848993A0000|63 67|mutAB
P08626065A0000|80 83|nrdA
P11145563A0202|93 98|SREBPs
P09182990A0245|38 42|SUP45
P11223246A0359|92 107|pRb-binding motif
P09773981A0415b|12 33|glucocorticoid receptor
P10319320A1022|65 67|Ras
P02164585A0814|19 22|orfD
P10557072A0127|70 73|ULK1
P08825636T0000|124 136|I kappa B-gamma
P10597223A0339|68 70|p21
P10742114A0486|0 3|Dll3
P03016506A0611|54 68|BamHI-K fragment
P07856102A1616|38 45|M protein
P10392900A1020|61 65|c-Abl
P11238882A0157|26 29|eIF6
P02657388A1011|63 76|RNA polymerase I
P09858619A0356|56 61|ZAP-70
P07708497A0000|75 84|T3 receptor
P08139543A1520|41 45|NHP6A
P08621659A0189|49 81|epidermal growth factor-like repeats
P07651340A0286|18 30|uvsH77 mutants
P07983011A0617|414 425|src homology 3
P10487040A0453|39 51|p53 antibodies
P08550476A0610|109 123|EpiQ binding site
P10022880A0000|104 114|Ras proteins
P08707846A2308|183 198|a-factor receptor
P11007949A1607|35 37|ILK
P11408575A0000|97 103|cyclin B
P01618027A1108|95 114|wild-type E10 fragment
P01850096A0662|14 21|myogenin
P10439040A0658|19 23|eIF4E
P07896088A0720|100 110|rap1 alleles
P09121476T0000|0 4|PRH75
P08627649A0734|182 190|Sp1 family
P11054565A0654|207 215|p190 genes
P10669594A0000|11 28|Salmonella fimbrins
P10869076A1384|109 112|boxA
P11438654A1237|34 37|Gab1
P10846054A0573|71 74|RNA 2
P11042199A0572|217 220|CREB
P07535768A1076|108 128|MAP kinase phosphatases
P09858588A1046|40 42|p68
P08106369A0000|0 10|Vasopressin
P00221725A0523|25 41|cytochrome oxidase
P08496601A1153|42 53|muMIP-1 alpha
P07774807A0405|3 14|bHLH proteins
P00503336A0285|81 99|alkaline phosphatase
P01406656A1075|154 165|oncogenic ras
P08861955A0927|60 63|p619
P10195690A0000|66 98|nuclear hormone receptor superfamily
P08990168A0688|77 80|GATE
P02711601A0601|28 42|acid phosphatase
P10198061A0339|26 37|beta-catenin
P09829836A0000|107 129|cyclin- dependent kinases
P08599945T0000|14 27|alpha-amanitin
P09710641A0000|35 39|Pax-6
P09336455A0000|75 83|RNR3 genes
P11114294A0075|83 97|interferon gamma
P07916003A0688|85 98|mouse CD79 alpha
P03443566A0675|68 69|TR
P03257146A1037|24 28|CSFHU
P09225682A0579|22 37|anti-GM1 antibody
P07438482A0145|96 97|E1
P11108720A0124|33 42|core kinase
P11167019A1249|39 47|GABPalpha
P01392012A0228|33 40|oxytocin
P08922390A0793|54 61|vinculin
P10453006A0478|67 72|PSMB11
P08561897A0604|151 154|AP-1
P01560021A0379|109 115|rat gene
P09827446T0001|30 31|C4
P09305755A0540|155 158|HNF1
P03582982A0000|27 43|U4 small nuclear RNA
P07704040A0000|171 182|DT diaphorase
P10747879A0607|17 40|CCR5 cis-regulatory region
P07926775A0895|40 42|slp
P07525843A0859|11 14|H-2 b
P08995410A0000|28 31|eIF3
P10871379A0261|6 9|VP16
P10871347A0477|59 63|PyRo1
P01918073A0150|71 82|TnI sequences
P01296815A0059|42 50|LD78 gamma
P07595221A0733|51 65|MHC class II genes
P09776360A1781|55 72|human NOS II promoter
P02163394T0000|24 34|sacPA operon
P00030937A0119|5 8|SGOT
P08548291A1059|112 131|serum response element
P11113199A0800|5 7|MEK
P08994825A0000|35 59|maturation promoting factor
P08563483A0094|56 58|hCG
P10861906A1479|83 87|KIN28
P10817754T0000|6 9|Igf2
P10333529A0277|4 14|betaAPP mRNA
P11069756A2618|485 518|growth factor receptor tyrosine kinase
P09050867A0542|36 47|Krox proteins
P10727247A0461|97 109|TEF-1 isoforms
P02045366A1149|92 106|KlaC polypeptide
P03023682A0271|81 83|CAT
P07783064A0452|60 75|creatinine kinase
P08083220A0988|75 92|c-fos protooncogene
P09442024A0708|144 156|Jacalin lectin
P02856622T0001|10 22|thyroglobulin
P02123877A1452|21 25|c-fos
P09079689A0472|0 3|MOP5
P08089184A0825|42 50|dagA locus
P07665187A0824|94 99|Nramp1
P09845662A0085|44 58|type III collagen
P07604047A0704|238 241|GA44
P09094315A0541|56 66|cyclin-Cdks
P10721704A1155|34 37|mHuA
P09079817A0928|77 88|NO synthetase
P10736223A1227|46 49|prgX
P09686344T0000|36 60|ornithine transcarbamylase
P07504171A0715|1 36|platelet-derived growth factor receptor
P10585480A0265|24 32|SH3 domain
P08647086A0720|79 81|pRB
P07644503A0729|28 34|RAR beta
P11517190T0000|26 39|rat ER alpha gene
P09010223A0667|119 122|Egr1
P09751114A0967|52 53|E1
P09882303A1984|72 75|LMP1
P07802655T0000|91 92|L1
P10347197A0502|108 111|Sos1
P08144572A0786|126 128|BiP
P08887674A0630|86 107|Ets-responsive elements
P09771967A1052|12 18|LB1 gene
P09286981A0147|0 3|ArgR
P01895384A0746|38 48|IE1 promoter
P02148799A0000|3 9|nmr gene
P03036415T0000|41 59|leukotriene receptor
P09099745A1446|118 121|Cdk2
P10194762A0648|110 114|STAT5
P01904546A0671|15 33|chromosomal AAR1 gene
P02124710A1624|59 66|AP-1 site
P08065901A0997|25 34|KRAB domain
P01870428A0677|61 63|LDL
P09252406A0511|56 73|Shc adaptor proteins
P02201905A1004|31 41|ABFI protein
P08922390A2076|86 93|vinculin
P08662789A0673|83 88|RPS30A
P08995410A1109|124 126|p66
P10556089A0901|19 23|etr-1
P01301171A0979|35 55|c-myc bearing sequences
P11160732A0464|22 37|envelope proteins
P09914518A1217|84 87|AF-1
P10446206A0000|38 40|PS1
P09346935A0927|145 150|pol IIo
P03001086A0587|87 98|Xenopus hsp70
P10454570A0846|289 293|ERK-1
P01646487A0874|77 79|IgG
P11834476A1187|118 127|hemoglobin
P10400593A1084|68 72|virE1
P06296833A0000|22 45|larval cuticle protein gene
P09369450A1358|267 292|steroid receptor coactivator
P10490662A0819|7 9|SPT
P08484689T0000|34 49|rheumatoid factor
P09788739A1096|0 3|CKII
P10200473A0171|140 143|MRIT
P11355576A1125|30 32|CDK
P09529156A1238|44 59|PKC consensus site
P07565672A0798|80 84|cox-5
P08416977A0892|34 38|CTDK2
P09263010T0000|102 106|bcl-2
P07559555A0557|13 17|c-Jun
P08508774A0242|22 24|Lrp
P08200528A0970|101 103|PAL
P03020513T0000|57 68|gyrA-protein
P07080496A0097|88 90|HDL
P08552086A0150|77 81|c-fos
P01309910A0428|38 55|TAR-binding protein
P10518561A0261|28 43|Tec family kinases
P10543728A0358|14 16|E1A
P09236118A1455|21 23|Lrp
P08455623A0630|129 132|GAR1
P01406677A0000|82 99|human myoglobin gene
P08062824A0626|28 34|FKBP-33
P11003669A0000|94 128|ErbB-2 juxtamembrane and kinase domains
P09858599A0392|84 95|HOXA9 domains
P01687050T0000|51 53|IgG
P07828584A0681|13 15|IM1
P02824334A0972|23 41|G-protein gene family
P11287623A0286|81 83|ERK
P09407031A0557|99 108|Chk1 kinase
P09848653A0597|56 74|RNA-binding proteins
P09203585A0660|21 40|recombinant H19 allele
P02575490A1021|36 52|oIGF-I transcripts
P02669199A0000|0 18|Tumor necrosis factor
P11108839A0401|32 53|70 kDa cytoplasmic kinase
P02998016A0527|190 194|c-mil
P08628302A0683|54 68|RNA polymerase II
P08647802A0000|109 112|Grb2
P09914500A0000|155 173|tumor necrosis factor
P09545638A0330b|30 56|yeast hnRNP methyltransferase
P02649445A0412|9 11|IRI
P09010223A0667|60 63|ETS2
P08637711A1121|27 30|IL-6
P10323463T0000a|0 15|Interferon-alpha
P10855690A0870|38 46|MAP kinase
P07565797A0116|24 27|CRY1
P10229084A0000|204 206|Fyn
P11321187A0355|71 94|C. pneumoniae-specific IgG
P09427844A0739|22 31|dAK subunit
P01309593A1092|190 210|ribosomal protein genes
P08496601A1153|71 81|CK-1 element
P02002051T0000|56 82|cAMP-dependent protein kinase
P08003700T0000|130 133|atp6
P08700531A1420|211 221|cph oncogene
P09096958A0000|169 172|TD77
P09712859A1110|12 17|NF-ATp
P09393875A0873|132 141|c-fos mRNAs
P09438427A0727|44 48|Hoxa1
P08617802A0993|108 110|Ras
P09325273A1240|66 74|ubiquitin
P09418905A1396|61 63|Ras
P09288916T0000|84 94|human meprin
P11059777A0813|174 178|BCL-X
P08386280T0000|72 83|gag enhancers
P09271417A1011|66 73|ERR alpha
P09435789A0961a|8 12|RAD17
P03417668A1233|116 127|CaM-kinase II
P11384225A0634|77 79|GFP
P08703908A1814|39 42|SF-1
P11310937A0548|100 102|CRP
P07528772A1539|105 110|ZAP-70
P08877103A0081|53 60|mdr2 gene
P07829097A0000|24 37|Factor VIII gene
P08294429A0153|107 121|luciferase genes
P10224289T0000|11 19|Fas ligand
P10506143A0610|148 156|TNF-alpha
P08223554A0574|44 60|recombinant enzyme
P02993630A1190|66 75|nuclease S1
P07783064A0452|77 78|CK
P08316240A1068|94 112|MluI restriction site
P11000250A0200|0 4|LMP-1
P09223479A1193|0 4|ORF M1
P07933095A0000|22 26|v-Rel
P09139737A0000|108 113|SREBPs
P08103935T0000|30 49|SRF accessory proteins
P02153243A0965|76 103|fibroblast growth factor family
P11094066A0505|95 98|IL-3
P10393422A0476|19 23|LAMB2
P08977401A0227|144 160|RI alpha pseudogene
P08013457A0342|71 92|tyrosine kinase receptor
P10342829A0236|95 104|human GnRHR
P08344248A0910|26 29|p190
P08386318A1102|23 29|JRE-IL6
P09032267A0850|93 94|TR
P01626430A1112|95 109|Drosophila genes
P09710582A0535|96 98|MEK
P08045431A0894|26 35|rubredoxin
P02362161T0000|40 56|carbonic anhydrase
P01321277A0342|52 54|SRC
P08125949A1162|101 110|rpl12 genes
P10330134A0765|24 27|RFX2
P08625806A0263|64 65|r3
P07865888A1309|26 30|PBP74
P08636149A0220|56 62|insulin
P07680035A0221|49 52|GnRH
P11278583A0873|241 244|Shp2
P09815578A1245|37 41|CDKN2
P09445488A1169|87 90|SUR1
P09498553T0000|82 98|P450 monooxygenase
P09622121T0000|23 55|polypyrimidine tract binding protein
P01825027T0000|85 91|ATPases
P09368419A0628|123 129|rd22BP1
P09211913A0000|192 205|erythropoietin
P04428800T0001|42 44|GPT
P09539779A0621|89 92|Arp1
P10085140A1004|24 28|ATF-2
P10679065A0711|0 2|BCR
P11358958A0878|12 21|human RACK1
P11504545A0393|133 139|BKV-MLP
P10938102A1359|62 64|NS1
P11545594A1556|23 32|Myb domains
P11005831A0242|142 146|AREB3
P01851527T0000|24 72|gene encoding Alzheimer beta-amyloid precursor protein
P08485317A0000|62 72|dis1 mutants
P09712919A0307|95 98|CREB
P01021091T0000|110 120|Octapressin
P09712915A0672|118 121|NF-Y
P09731513A1090|120 127|IL-8 gene
P08228805A0540|52 82|guanine nucleotide binding protein
P01735721A0185|151 169|B. subtilis TyrTS gene
P09003462A0792|33 35|SL1
P11069999A1602|49 54|HIV LTR
P08581174A0472|124 134|QUTA protein
P07943556A0694|58 62|Og4C3
P07811639A0222|0 16|Endo16 transcripts
P10931524A0313|32 34|Gtx
P08218230A1505|121 125|HNF-1
P10478848A0331|0 3|SF-1
P09857197A0289|31 40|crm1 mutant
P07624581A0312|102 104|PRL
P09195923A0125|72 76|hsp90
P09395470A0294|32 62|type II transmembrane glycoprotein
P06784123T0000|16 36|immunoglobulin C mu gene
P09111048X0000|124 151|neuronal nitric-oxide synthase
P10347197A0502|101 104|Grb2
P09315678A0278|114 120|Nopp140
P09204566T0000|50 62|fixNOQP operon
P09188094A0934|51 54|Spc1
P11274184A0000|81 84|HO-1
P08552643A0261|138 140|IFN
P08043523A0000|75 79|nAChR
P10348859A0292|49 61|MerR homodimer
P11473254A0000|0 3|NaeI
P08896280A0860|44 47|IME1
P07508441A0487|234 248|bovine annexin XI
P07659529A0135|135 147|human EpoR gene
P03443144A0409|4 18|aspirin esterase
P10850453A0713|88 96|TGF-beta1
P08383217A0357|145 148|VP16
P09852005A1287|168 186|serum response factor
P01710979T0000|85 88|p130
P09003462A0792|29 31|S61
P07894021A1130|36 38|DS2
P09786197A0322|125 128|csrS
P03137346A0319|3 15|nucleolin gene
P02166040A0385|246 277|chloramphenicol acetyltransferase
P11094072A0842|40 48|c-Myb site
P07500386A0870|154 157|IRA1
P07768824A0167|11 17|fla gene
P09712898A0911|19 22|SAPK
P08627649A0734|137 141|P4 EBS
P10763827A1158|64 74|ras oncogene
P09917389A1239|12 17|RNase E
P07914700A0000|50 52|PKR
P09418861A0623|84 94|n-chimaerin
P08223613A0105|131 134|fdp1
P08621017A1186|24 34|uPA promoter
P08280925A0261|159 179|IgG anti-KLH antibodies
P08589735A0577|140 143|Act1
P11181531A0464|146 158|interleukin-6
P09804779A0000|50 63|protein kinases
P09892021A0712|16 19|PTTG
P08768377A1387|10 20|hcf109 locus
P10477620A0580|69 80|I kappa B alpha
P10799863T0000|20 36|metallopeptidases
P11353770A0085|47 48|S3
P08029001A1020|67 81|RNA polymerase II
P08550470A1021|9 12|CheW
P08396913A1379|88 94|DGK gene
P02535460A1443|0 13|RNA transcripts
P11596104A0614|32 37|PARNAs
P09716179A0974|169 178|cdk2 kinase
P09003001A1593|72 82|bHLH factors
P11056019A0926|12 22|glycosylase
P09858713A1174|35 46|wild-type Pan
P08183915T0000|79 98|I kappa B gamma isoforms
P08538052A0000|80 86|THZif-1
P08932363A0807|114 122|E1A mutant
P09504423A0114|134 158|glutathione-S-transferase
P03041802A0975|61 66|fibrin
P00947834X0000|13 15|IgE
P10407985A0574|55 60|GM-CSF
P08144615A0533|11 16|NF-IL6
P04890336T0001|84 87|RPCF
P09234713A0754|108 110|RAG
P09858713A1174|114 115|Wg
P09867253A0229|30 34|c-Fos
P09182527A0443|87 92|Nedd-4
P09813207A0434|283 286|lef2
P00377466A0188|84 87|HPRL
P10942587A0981|211 227|anti-E7 antibodies
P07935447A0972|113 121|PRE B sites
P11486476A0147|125 133|myoglobin
P10907971T0000|28 43|HMG-CoA reductase
P10588946A0432|61 65|ORP-1
P09685346A0419|50 54|Pit-1
P08918918T0000|45 59|viral Tat protein
P02144610A1306|174 187|T alpha 1 element
P07691837A1359|30 42|K3 keratin gene
P00232354A0286|24 30|insulin
P10066815T0000|46 49|SHIP
P08532536A0925|54 79|bone morphogenetic protein-2
P11238405A0817|16 20|tup11
P06131378A0818|68 75|DHFR cDNA
P07964458A0179|17 19|Bcg
P08293993A0948|0 2|ENV
P09006914A0812|6 8|p38
P07836406A0884|72 81|cdc2 kinase
P09599102A1191|112 115|CUP1
P02196565A0606|138 145|MAT alpha
P01485648A0000|139 168|allergen-specific IgE antibodies
P08604338A0198|81 92|ets sequences
P01327758A0000|92 111|full-length E2 protein
P02943562T0000|0 12|Penicillinase
P09218459A0000|143 170|growth factor-responsive genes
P07791769A0826|86 90|TFIIB
P10428811A0628|59 87|beta-adrenergic receptor kinase
P09154822T0000|15 25|Raf-1 kinase
P09851700A0000|52 55|t-PA
P07958920A1157|57 67|RNase MRP RNA
P07922709T0000|22 47|hematopoietic growth factors
P10318859A0535|98 105|paxillin
P08352268A0000|0 29|Recombinant human erythropoietin
P01380454A0451|105 121|Jun-Jun homodimers
P10068674A0644|49 52|Lyp2
P10694210A0385|21 23|H1R
P01732752A0156|74 79|LT mRNA
P01918010A1730|84 94|LPL promoter
P08794363A0259|38 40|meq
P09915860A0000|111 117|Sp1 site
P02247081A0223|101 109|VPS34 gene
P10925159A1353|108 113|MARTA2
P08209423T0000|105 125|viral glycoprotein gene
P09545638T0000|46 76|human arginine methyltransferases
P11331613A0827|19 22|pVHL
P08088777A0754|122 125|Pbx3
P02962859A0276|94 117|U1 snRNP-specific A antigen
P00598012A0174|7 15|prolactin
P01538401A1244|59 67|5 S RNA gene
P01588315A0356|111 124|polyhedrin gene
P09383156A0691|8 28|RNase E cleavage product
P09360422A0135|101 119|betathromboglobulin
P10805729A0987|81 84|DDP1
P04085589A0264a|94 106|serum lysozyme
P02131652A0883|18 24|gastrin
P07565113A0000|3 38|chloramphenicol-resistance transposon
P10049357A0608|40 50|HDAC complex
P08812490A0000|25 28|hKID
P01394200A0592|166 171|CD45RO
P08065331A0279|89 100|wild-type HLF
P11162936A2727|83 89|ERalpha
P02118525A0737|36 46|CCK promoter
P01448917A0775|81 96|CPMV RNA 1 sequence
P10706688A0376|107 115|NF-kappaB
P10572866A0481|88 112|aspartate aminotransferase
P08981371A2049a|64 68|CSF-1
P10458914A0674|13 25|mouse STAP gene
P10488148A1267|23 26|MAPK
P10496284A0115|46 60|immunoglobulin G
P08601283A0875|112 126|type 1 deiodinase
P10691972T0000|148 151|MRP3
P11122381A0908|93 98|GM-CSF
P00431832T0001|42 53|beta receptor
P10613863T0000|3 23|VirR response regulator
P09651375T0000|29 33|RGS12
P09334330A0252|15 19|daf-3
P08922390A0361|61 68|paxillin
P08731511A0625|11 20|fibrinogen
P11309373A0783|84 95|mCTR isoforms
P09414319A1442|0 5|Y15170
P08906139A2935|52 70|alkaline phosphatase
P02200315A0278|0 2|IgG
P09422727A0196|201 205|ATF-2
P08617237A0489|29 33|STAT5
P01828248A0189|42 52|UvrB protein
P11080796A0883|73 80|IKKgamma
P08016102A1238|85 88|AP-2
P08798643T0000|70 72|Cbl
P09478976T0000|21 25|c-Fos
P09121454A1328|34 37|mot1
P06959130A0996|79 87|factor XIa
P08649405T0000|83 85|AP1
P09365431A0314|50 69|acetylcholinesterase
P09601940A0280|112 117|NF-IL6
P03379058A0188|37 47|E1 alpha cDNA
P06732946A0281|26 31|fibrin
P07592337A0891|67 70|nfxB
P11196191A1789|32 35|IL-6
P11524015A0937|42 51|H4 promoter
P09139721A0183|0 7|Cyclin G2
P10752475A1376|134 152|anti-CD20 antibodies
P01420363T0000|19 34|PEA3 binding sites
P01309910A0428|74 85|CREB2 protein
P01536575A1213|152 172|cytochrome P450IA1 gene
P01448932T0000|0 41|Rice dwarf phytoreovirus segment S12 transcript
P08464924A0243|95 106|eIF-5 protein
P10205176A0000|17 19|NRs
P10049357A0608|20 22|Ski
P09813041A1122|48 66|Jun N-terminal kinase
P03049570A1242|33 42|E2 proteins
P08534367A0984|0 5|PTP-S3
P09050867A0542|126 141|TN control element
P07739542A1419|20 26|cyclin E
P10022867A1069b|19 22|apn1
P09169420A0000|87 98|Src homology 2
P11094087T0000|19 22|Rnd3
P11283014A0921|122 126|actin
P02903500A0278|140 163|immunoglobulin heavy chain
P08917696A0485|289 309|firefly luciferase gene
P09199348A0156|123 129|Y domain
P02115122A0562|91 95|v-Fos
P07691837A1359|157 160|NFkB
P07038684A1050|110 112|p62
P08683106A0374|46 50|STAT5
P08093642A0600|73 80|RET locus
P10490604A0601|59 61|Lck
P08094464A0869|96 99|aroF
